,LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
8564183,-122.0839135,37.3549255,1490,HOLLY AVE,,LOS ALTOS,,,94024,,c8d20ab2727ead01
8564185,-122.0980338,37.3698114,744,ROSE LN,,LOS ALTOS,,,94024,,d4fe50397ae6feb9
8564237,-122.0712804,37.3538841,1534,WESSEX AVE,,LOS ALTOS,,,94024,,fa9d02cae146e21f
8564255,-122.1243728,37.3900565,430,SAN DOMINGO WAY,,LOS ALTOS,,,94022,,17dd15d6c4b284f3
8564271,-122.1261447,37.3928503,621,TWELVE ACRES DR,,LOS ALTOS,,,94022,,4bc4ce55bce0fac3
8564310,-122.1071595,37.3735735,520,SHELBY LN,,LOS ALTOS,,,94024,,53bd925271a0fd3a
8564365,-122.1025262,37.3881459,370,VERANO DR,,LOS ALTOS,,,94022,,50429bfe6eb37ba1
8564428,-122.103105,37.3692477,448,LA PRENDA RD,,LOS ALTOS,,,94024,,b13b386271d5e8dd
8564493,-122.0917198,37.3509906,1560,COUNTRY CLUB DR,,LOS ALTOS,,,94024,,313f3853e0d13a55
8564539,-122.0652912,37.3593756,1709,JOEL WAY,,LOS ALTOS,,,94024,,e6da4b02890c5474
8564578,-122.0820824,37.3570158,1230,PAYNE DR,,LOS ALTOS,,,94024,,f026152c1fae3630
8564579,-122.0807685,37.3417555,2041,STONEHAVEN DR,,LOS ALTOS,,,94024,,e10afd12312a4d09
8564580,-122.0986841,37.3784881,637,HAWTHORNE AVE,,LOS ALTOS,,,94024,,cba3d5052cdeffea
8564590,-122.0760369,37.3552432,1365,RANCHITA DR,,LOS ALTOS,,,94024,,f9bff16a8a496e0c
8564621,-122.1195644,37.388354,250,YERBA SANTA AVE,,LOS ALTOS,,,94022,,281911210e23116d
8564803,-122.1182601,37.3929786,640,KINGSWOOD WAY,,LOS ALTOS,,,94022,,ed16f0589ec0aeb6
8564826,-122.0743061,37.3516543,1626,AUSTIN AVE,,LOS ALTOS,,,94024,,94f7b4bdb6301cc3
8564832,-122.070698,37.3369878,1570,WISTARIA LN,,LOS ALTOS,,,94024,,a0afed75e340d0bb
8564867,-122.1172599,37.3723935,591,UNIVERSITY AVE,,LOS ALTOS,,,94022,,287e4bc3b3073b52
